"respondent_id","status","response_id","user_id","weblink","start_time","completed_at","time_diff","verified","verification_comment","utm_source","utm_medium","utm_campaign","survey_id","version","Language","R0a1","Q1.","Q2","Q3a_1","Q3a_2","Q3a_3","Q3a_4","Q3a_5","Q3a_6","Q3a_7","Q3a_8","Q3a_9","Q3a_10","Q3a_11","Q3b","SECAutoNew","Q4","Age_Postcode","Q5_1","Q5_2","Q5_3","Q5_4","Q5_5","Q5_6","Q5_997","Q6_1","Q6_2","Q6_3","Q6_4","Q6_5","Q6_6","Q6_997","Q7_Q6_1","Q7_Q6_2","Q7_Q6_3","Q7_Q6_4","Q7_Q6_5","Q7_Q6_6","Q7_Q6_997","Q8","Q9_1","Q9_2","Q9_3","Q9_4","Q9_5","Q9_6","Q9_997","Q10","Q10a_1","Q10a_2","Q10a_3","Q10a_4","Q10a_5","Q10a_6","Q10a_7","Q10a_8","Q10a_9","Dummy1","Dummy2","Dummy3","Q12_1","Q12_2","Q12_3","Q12_4","Q12_5","Q12_6","Q12_7","Q12_8","Q12_9","Q12_10","Q12_11","Q12_12","Q12_13","Q12_997","Q13a.","Q13b.","Q14_1","Q14_2","Q14_3","Q14_4","Q14_5","Q14_6","Q14_7","Q14_8","Q14_9","Q14_997","Q16_1","Q16_2","Q16_3","Q16_4","Q16_5","Q16_6","Q16_7","Q16_8","Q16_9","Q16_10","Q16_11","Q16_12","Q16_997","Q17","Q18_1","Q18_2","Q18_3","Q18_4","Q18_5","Q18_6","Q18_7","Q18_8","Q18_9","Q18_997","Q19a","Q19b_1","Q19b_2","Q19b_3","Q19b_4","Q19b_5","Q19b_6","Q19b_7","Q19b_8","Q19b_9","Q19c","Q20_1","Q20_2","Q20_3","Q20_4","Q20_5","Q20_6","Q20_7","Q20_8","Q20_9","Q20_10","Q20_997","Q21_1","Q21_2","Q21_3","Q21_4","Q21_5","Q21_6","Q21_7","Q21_8","Q21_9","Q21_10","Q21_11","Q21_12","Q21_13","Q21_14","Q21_15","Q21_16","Q21_17","Q21_18","Q21_997","Q22_1","Q22_2","Q22_3","Q22_4","Q22_5","Q22_6","Q22_7","Q22_8","Q22_9","Q22_10","Q22_11","Q22_12","Q22_997","Q23a","Q23b_1","Q23b_2","Q23b_3","Q23b_4","Q23b_5","Q23b_6","Q23b_7","Q23b_997","Q24a","Q24b_1","Q24b_2","Q24b_3","Q24b_4","Q24b_5","Q24b_6","Q24b_7","Q24b_8","Q24b_9","Q24d","Q25_1","Q25_2","Q25_3","Q25_4","Q25_5","Q25_6","Q25_7","Q25_8","Q25_9","Q25_10","Q25_997","Q26_1","Q26_2","Q26_3","Q26_4","Q26_5","Q26_6","Q26_7","Q26_8","Q26_9","Q26_10","Q26_11","Q26_12","Q26_13","Q26_14","Q26_997","Q27_1","Q27_2","Q27_3","Q27_4","Q27_5","Q27_6","Q27_7","Q27_8","Q27_9","Q27_10","Q27_11","Q27_12","Q27_13","Q27_14","Q27_15","Q27_16","Q27_997","Q28_1","Q28_2","Q28_3","Q28_4","Q28_5","Q28_6","Q28_7","Q28_8","Q28_9","Q28_10","Q28_11","Q29","Q30a","Q30b_1","Q30b_2","Q30b_3","Q30b_4","Q30b_5","Q30b_6","Q30b_7","Q30b_8","Q30b_9","Q31"
"C13251351232705","Completed","51232705","6667","bzhMLXA4VzItellqWi1qUg==","2022-01-08 13:25:03","2022-01-08 13:48:01","23","1","","393d7d11","deec2117","aa37f585","8851","1","hi-IN","320","1","1","1","1","1","1","1","1","0","0","0","0","0","7","3","27","2","1","1","1","0","1","1","0","1","1","1","","0","0","","2","2","1","","","","","1","1","1","1","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","","","2","2","3","3","2","2","2","3","2","3","1","3","2","1","4","","1","1","0","1","1","1","1","1","1","0","0","1","0","1","1","1","1","1","1","1","1","1","0","3","","","","","","","","","","","2","","","","","","","","","","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C13445551234482","Completed","51234482","6667","dnowLXA4VzItellqWi1qUg==","2022-01-08 13:44:55","2022-01-08 17:55:39","251","1","","393d7d11","deec2117","aa37f585","8851","1","en-IN","326","3","2","1","1","1","0","1","0","0","0","0","0","0","6","5","35","3","1","1","1","0","1","0","0","1","0","0","","0","","","2","","","","","","","1","1","0","0","0","0","0","0","1","0","1","1","1","1","0","1","1","1","1","","","3","3","3","3","3","3","3","2","3","2","2","3","3","3","1","","0","1","1","1","0","1","0","1","1","0","1","1","1","1","1","1","1","0","1","1","1","1","0","3","","","","","","","","","","","2","","","","","","","","","","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C13524351235126","Completed","51235126","6667","bjdwLXA4VzItellqWi1qUg==","2022-01-08 13:52:43","2022-01-08 14:07:46","15","1","","393d7d11","deec2117","aa37f585","8851","1","hi-IN","320","1","1","1","1","1","1","1","1","1","1","0","0","1","7","1","28","2","1","1","1","0","0","1","0","1","1","1","","","0","","2","1","1","","","","","1","1","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","","","3","3","3","3","3","3","3","3","3","3","3","3","3","1","4","","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","3","","","","","","","","","","","2","","","","","","","","","","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C14115351236691","Completed","51236691","6667","cXA3LXA4VzItellqWi1qUg==","2022-01-08 14:10:53","2022-01-08 14:27:27","17","1","","393d7d11","deec2117","aa37f585","8851","1","hi-IN","320","1","1","1","1","1","1","1","1","1","1","1","1","0","7","1","28","2","1","1","1","0","0","0","0","1","1","1","","","","","2","2","2","","","","","1","1","1","1","0","0","0","0","2","1","1","1","1","1","1","1","1","1","","1","","2","2","2","2","2","2","2","2","2","1","2","2","2","1","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","","","","2","","","","","","","","","","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C14113151236742","Completed","51236742","6667","RDJ5LXA4VzItellqWi1qUg==","2022-01-08 14:11:31","2022-01-08 14:31:39","20","1","","393d7d11","deec2117","aa37f585","8851","1","kn","326","3","1","1","1","1","1","1","1","1","0","0","0","0","6","2","42","4","1","1","1","1","0","1","0","1","0","0","0","","0","","2","","","","","","","1","1","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","","","2","2","2","2","2","2","2","2","2","2","3","2","2","2","6","","0","0","1","1","1","1","1","1","1","0","1","1","1","1","1","0","1","1","1","1","1","1","0","3","","","","","","","","","","","1","1","1","1","1","1","1","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C14334751238408","Completed","51238408","6667","SzdHLXA4VzItellqWi1qUg==","2022-01-08 14:33:47","2022-01-08 14:48:19","15","1","","393d7d11","deec2117","aa37f585","8851","1","hi-IN","320","1","1","1","1","1","1","1","1","1","1","0","0","1","7","1","30","2","1","1","1","0","1","0","0","1","1","1","","0","","","2","2","2","","","","","1","1","1","1","0","0","0","0","3","1","1","1","1","1","1","1","1","1","","1","","3","3","3","3","3","3","3","3","3","3","2","3","3","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","1","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","2","0","0","1","0","0","0","0","0","2","","","","","","","","","","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C14391351238836","Completed","51238836","6667","RTJZLXA4VzItellqWi1qUg==","2022-01-08 14:39:13","2022-01-08 14:51:30","12","1","","393d7d11","deec2117","aa37f585","8851","1","en-IN","326","3","1","1","1","1","1","1","1","1","1","1","1","0","7","1","34","3","1","1","1","1","1","0","0","1","1","1","0","0","","","3","2","2","","","","","1","1","0","0","0","0","0","0","1","1","0","1","1","1","0","1","1","1","1","","","2","2","2","3","2","3","2","1","2","3","2","2","3","3","6","","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","0","3","","","","","","","","","","","2","","","","","","","","","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C15532251247165","Completed","51247165","6667","bWdyLXA4VzItellqWi1qUg==","2022-01-08 15:53:22","2022-01-08 16:09:48","16","1","","393d7d11","deec2117","aa37f585","8851","1","kn","326","3","1","1","1","1","1","1","1","1","1","0","0","0","4","3","38","3","1","1","1","0","0","0","0","1","1","1","","","","","3","1","1","","","","","5","","","","","","","","","1","0","1","1","1","1","1","1","1","","","1","2","3","2","2","2","3","2","2","2","2","2","3","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","1","1","1","1","1","0","0","1","1","1","1","1","1","1","1","1","1","1","0","0","0","","","","","","","","","","","","","","","","","","1","1","1","1","1","1","1","1","1","1","0","3","1","3","3","3","3","3","3","3","3","3","10"
"C17173151254096","Completed","51254096","6667","R3I4LXA4VzItellqWi1qUg==","2022-01-08 17:07:30","2022-01-08 17:25:25","18","1","","393d7d11","deec2117","aa37f585","8851","1","kn","326","3","1","1","1","1","1","0","1","1","1","1","0","0","7","2","37","3","1","1","1","1","1","1","0","1","1","0","0","0","0","","3","2","","","","","","2","","","","","","","","","0","1","1","0","1","1","1","1","1","","","1","2","2","2","3","2","2","3","2","2","2","2","2","2","1","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","1","1","1","1","1","0","1","1","1","0","0","1","0","1","1","0","1","0","1","0","0","","","","","","","","","","","","","","","","","","1","1","1","1","1","1","1","1","1","1","0","3","1","1","1","1","3","3","3","3","2","1","0"
"C18144551262779","Completed","51262779","6667","QWxQLXA4VzItellqWi1qUg==","2022-01-08 18:14:45","2022-01-08 18:31:38","17","1","","393d7d11","deec2117","aa37f585","8851","1","hi-IN","326","3","1","1","1","1","1","1","1","1","0","0","0","0","6","2","37","3","1","1","1","0","0","0","0","1","0","0","","","","","2","","","","","","","5","","","","","","","","","0","1","1","1","1","1","1","1","1","","","1","3","1","1","2","1","1","2","1","1","2","3","3","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","0","0","0","1","1","1","0","0","1","0","1","0","0","1","0","1","0","0","1","0","0","0","","","","","","","","","","","","","","","","","","1","1","1","1","1","1","1","0","1","1","0","3","2","","","","","","","","","","8"
